num_point,time_sort,time_convex,time_convex_pred,residual,,,
72361,0.567499638,0.747503042,0.63632712,0.068827482,,,
72900,0.603500128,0.749001503,0.641492145,0.037992017,,,
73441,0.588997841,0.761000156,0.646679485,0.057681644,,,
73984,0.594000101,0.762499571,0.651889151,0.05788905,,,
74529,0.591001034,0.770998716,0.657121155,0.066120121,,,
75076,0.608497381,0.774501801,0.662375508,0.053878127,,,
75625,0.596502066,0.781497955,0.667652223,0.071150157,,,
76176,0.620499849,0.786500454,0.672951309,0.05245146,,,
76729,0.651500225,0.792999744,0.678272779,0.026772554,,,
77284,0.613499403,0.801001787,0.683616645,0.070117242,,,
77841,0.630499363,0.809500217,0.688982916,0.058483553,,,
78400,0.627000093,0.813500166,0.694371606,0.067371513,,,
78961,0.624498844,0.82049942,0.699782724,0.07528388,,,
79524,0.628498554,0.833501339,0.705216283,0.076717729,,,
80089,0.657001257,0.83249855,0.710672293,0.053671036,,,
80656,0.625498295,0.835499763,0.716150765,0.09065247,,,
81225,0.712999582,0.848002672,0.721651711,0.008652129,,,
81796,0.659500599,0.845999718,0.727175142,0.067674543,,,
82369,0.646999598,0.854999542,0.732721068,0.08572147,,,
82944,0.685999393,0.873500347,0.738289501,0.052290108,,,
83521,0.693497658,0.873002052,0.743880451,0.050382793,,,
84100,0.736500502,0.875499487,0.74949393,0.012993428,,,
84681,0.68849802,0.880002022,0.755129948,0.066631928,,,
85264,0.665500164,0.910002232,0.760788516,0.095288352,,,
85849,0.719998837,0.891499281,0.766469645,0.046470808,,,
86436,0.696997404,0.927002192,0.772173346,0.075175942,,,
87025,0.690001249,0.911499977,0.777899629,0.08789838,,,
87616,0.690999746,0.935999632,0.783648505,0.092648759,,,
88209,0.736999512,0.918999434,0.789419985,0.052420473,,,
88804,0.714998007,0.935499191,0.795214079,0.080216072,,,
89401,0.743499517,0.932502031,0.801030798,0.057531281,,,
90000,0.747000217,0.942500353,0.806870152,0.059869935,,,
90601,0.741499186,0.94350028,0.812732152,0.071232966,,,
91204,0.732000351,0.946498394,0.818616808,0.086616457,,,
91809,0.751500368,0.958000422,0.824524131,0.073023763,,,
