num_point,time_sort,ycalc,res
156816,1.415992975,1.474322306,0.058329331
157609,1.375999689,1.482402573,0.106402884
158404,1.46000123,1.490506366,0.030505136
159201,1.405506134,1.498633694,0.09312756
160000,1.383998632,1.506784565,0.122785933
160801,1.41400075,1.514958985,0.100958235
161604,1.423496485,1.523156964,0.099660479
162409,1.421501875,1.531378508,0.109876633
163216,1.438997269,1.539623627,0.100626358
164025,1.506994963,1.547892326,0.040897363
164836,1.519000053,1.556184615,0.037184562
165649,1.447495461,1.564500501,0.11700504
166464,1.421500444,1.572839992,0.151339548
167281,1.529500723,1.581203095,0.051702372
168100,1.461496592,1.589589819,0.128093227
168921,1.458500385,1.59800017,0.139499785
169744,1.488500357,1.606434156,0.117933799
170569,1.459498882,1.614891786,0.155392904
171396,1.525498867,1.623373067,0.0978742
172225,1.709000349,1.631878006,-0.077122343
173056,1.573499918,1.640406611,0.066906693
173889,1.612502098,1.648958889,0.036456791
174724,1.582995653,1.657534849,0.074539196
175561,1.620499611,1.666134497,0.045634886
176400,1.721499205,1.674757841,-0.046741364
177241,1.590999603,1.683404889,0.092405286
178084,1.568007708,1.692075647,0.124067939
178929,1.60599947,1.700770125,0.094770655
179776,1.659999847,1.709488328,0.049488481
180625,1.54648447,1.718230265,0.171745795
181476,1.65150094,1.726995942,0.075495002
182329,1.627999306,1.735785368,0.107786062
183184,1.628000021,1.744598549,0.116598528
184041,1.718498468,1.753435493,0.034937025
184900,1.727999926,1.762296208,0.034296282
185761,1.685501814,1.7711807,0.085678886
186624,1.640000343,1.780088977,0.140088634
187489,1.651000023,1.789021045,0.138021022
188356,1.63849926,1.797976914,0.159477654
189225,1.688499689,1.806956589,0.1184569
190096,1.740499735,1.815960078,0.075460343
190969,1.8089993,1.824987388,0.015988088
191844,1.708999872,1.834038526,0.125038654
192721,1.717002392,1.8431135,0.126111108
193600,1.749998808,1.852212317,0.102213509
194481,1.816499233,1.861334983,0.04483575
195364,1.71249938,1.870481507,0.157982127
196249,1.875999212,1.879651894,0.003652682
197136,1.758500576,1.888846153,0.130345577
198025,1.793498993,1.89806429,0.104565297
198916,1.871498823,1.907306312,0.035807489
199809,1.884501696,1.916572227,0.032070531
200704,1.974998951,1.925862041,-0.04913691
201601,1.851001024,1.935175762,0.084174738
202500,1.843998909,1.944513396,0.100514487
203401,1.811001301,1.953874951,0.14287365
204304,1.841999292,1.963260433,0.121261141
205209,1.826998234,1.972669849,0.145671615
206116,1.958499908,1.982103207,0.023603299
207025,1.8974998,1.991560513,0.094060713
207936,1.911501646,2.001041775,0.089540129
208849,1.873999119,2.010546998,0.136547879
209764,1.932501554,2.020076191,0.087574637
210681,2.006998777,2.029629359,0.022630582
211600,1.934502363,2.03920651,0.104704147
212521,1.949498892,2.048807651,0.099308759
213444,1.99900198,2.058432788,0.059430808
214369,1.866499901,2.068081928,0.201582027
215296,2.034999371,2.077755079,0.042755708
216225,2.15399909,2.087452246,-0.066546844
217156,1.954999924,2.097173436,0.142173512
218089,2.076501131,2.106918657,0.030417526
219024,2.056499958,2.116687915,0.060187957
219961,1.97199893,2.126481217,0.154482287
220900,2.112001657,2.136298569,0.024296912
221841,1.992000341,2.146139979,0.154139638
222784,2.18949914,2.156005452,-0.033493688
223729,2.038498878,2.165894996,0.127396118
224676,2.159999847,2.175808617,0.01580877
225625,2.129998684,2.185746322,0.055747638
226576,2.105500221,2.195708117,0.090207896
227529,2.137001753,2.205694009,0.068692256
228484,2.194001198,2.215704005,0.021702807
229441,2.155999184,2.225738112,0.069738928
230400,2.226000071,2.235796335,0.009796264
231361,2.172999144,2.245878681,0.072879537
232324,2.281003952,2.255985157,-0.025018795
233289,2.163500071,2.26611577,0.102615699
234256,2.230500698,2.276270526,0.045769828
235225,2.283499956,2.286449431,0.002949475
236196,2.265496254,2.296652492,0.031156238
237169,2.201000214,2.306879716,0.105879502
238144,2.236492395,2.317131108,0.080638713
239121,2.159000635,2.327406676,0.168406041
240100,2.398999214,2.337706425,-0.061292789
241081,2.196500063,2.348030363,0.1515303
242064,2.195497513,2.358378495,0.162880982
243049,2.323500395,2.368750828,0.045250433
244036,2.302999735,2.379147369,0.076147634
245025,2.422498226,2.389568123,-0.032930103
246016,2.497499228,2.400013097,-0.097486131
247009,2.26700139,2.410482298,0.143480908
248004,2.316499233,2.420975732,0.104476499
249001,2.310999393,2.431493405,0.120494012
250000,2.638002872,2.442035323,-0.195967549
251001,2.334999561,2.452601493,0.117601932
252004,2.333499432,2.46319192,0.129692488
253009,2.328500509,2.473806612,0.145306103
254016,2.306999922,2.484445575,0.177445653
255025,2.474499702,2.495108814,0.020609112
256036,2.436502934,2.505796336,0.069293402
257049,2.505999804,2.516508148,0.010508344
258064,2.479499102,2.527244255,0.047745153
259081,2.437999725,2.538004663,0.100004938
260100,2.438500166,2.548789379,0.110289213
261121,2.43550086,2.559598409,0.124097549
262144,2.489499331,2.57043176,0.080932429
263169,2.546500206,2.581289436,0.03478923
264196,2.478500128,2.592171445,0.113671317
265225,2.460500717,2.603077792,0.142577075
266256,2.420500278,2.614008484,0.193508206
267289,2.492000818,2.624963527,0.132962709
268324,2.636002064,2.635942927,-5.91375E-05
269361,2.464498997,2.646946689,0.182447692
270400,2.536999941,2.65797482,0.120974879
271441,2.643499374,2.669027326,0.025527952
272484,2.558498621,2.680104214,0.121605593
273529,2.531499863,2.691205488,0.159705625
274576,2.603998899,2.702331156,0.098332257
275625,2.593498468,2.713481222,0.119982754
276676,2.59449935,2.724655694,0.130156344
277729,2.587500095,2.735854576,0.148354481
278784,2.680500507,2.747077876,0.066577369
279841,2.741000652,2.758325598,0.017324946
280900,2.671999931,2.76959775,0.097597819
281961,2.633000135,2.780894336,0.147894201
283024,2.649499893,2.792215364,0.142715471
284089,2.770498753,2.803560838,0.033062085
285156,2.76399684,2.814930764,0.050933924
286225,2.772500515,2.826325149,0.053824634
287296,2.708993435,2.837743999,0.128750564
288369,2.861998558,2.849187318,-0.01281124
289444,2.699499846,2.860655114,0.161155268
290521,2.875499487,2.872147392,-0.003352095
291600,2.919499636,2.883664157,-0.035835479
292681,2.806498289,2.895205416,0.088707127
293764,2.800998926,2.906771175,0.105772249
294849,2.823000193,2.918361439,0.095361246
295936,2.910505056,2.929976214,0.019471158
297025,2.798999071,2.941615505,0.142616434
298116,2.954498053,2.95327932,-0.001218733
299209,2.769001245,2.964967663,0.195966418
300304,2.990499973,2.976680539,-0.013819434
301401,2.771999121,2.988417956,0.216418835
302500,2.890001297,3.000179918,0.110178621
303601,2.919499874,3.011966432,0.092466558
304704,2.969998837,3.023777502,0.053778665
305809,2.915999889,3.035613136,0.119613247
306916,3.355001926,3.047473337,-0.307528589
308025,3.030499935,3.059358113,0.028858178
309136,2.92899847,3.071267469,0.142268999
310249,3.140999556,3.08320141,-0.057798146
311364,3.201501131,3.095159942,-0.106341189
312481,3.008000374,3.10714307,0.099142696
313600,2.960998535,3.119150802,0.158152267
314721,3.14049983,3.131183141,-0.009316689
315844,3.172502756,3.143240093,-0.029262663
316969,3.109998465,3.155321665,0.0453232
318096,3.03049469,3.167427861,0.136933171
319225,3.093998432,3.179558688,0.085560256
320356,3.133005381,3.191714151,0.05870877
321489,3.05250001,3.203894255,0.151394245
322624,3.102499008,3.216099006,0.113599998
323761,3.189502478,3.22832841,0.038825932
324900,3.239000797,3.240582472,0.001581675
326041,3.275500059,3.252861197,-0.022638862
327184,3.247007132,3.265164592,0.01815746
328329,3.42750001,3.277492661,-0.150007349
329476,3.217000246,3.28984541,0.072845164
330625,3.237500906,3.302222845,0.064721939
331776,3.198992252,3.314624971,0.115632719
332929,3.18799901,3.327051793,0.139052783
334084,3.256501436,3.339503317,0.083001881
335241,3.335007906,3.351979549,0.016971643
336400,3.370995045,3.364480493,-0.006514552
337561,3.293498516,3.377006156,0.08350764
338724,3.189998865,3.389556543,0.199557678
339889,3.380997419,3.402131658,0.021134239
341056,3.242000818,3.414731508,0.17273069
342225,3.59050703,3.427356098,-0.163150932
343396,3.342999697,3.440005433,0.097005736
344569,3.296498775,3.452679519,0.156180744
345744,3.559001684,3.465378361,-0.093623323
346921,3.617001295,3.478101964,-0.138899331
348100,3.547002077,3.490850334,-0.056151743
349281,3.373500109,3.503623476,0.130123367
350464,3.534999132,3.516421395,-0.018577737
351649,3.56199789,3.529244097,-0.032753793
352836,3.666498661,3.542091586,-0.124407075
354025,3.518000841,3.554963869,0.036963028
355216,3.370500803,3.567860951,0.197360148
356409,3.594504833,3.580782836,-0.013721997
357604,3.437999487,3.59372953,0.155730043
358801,3.613999367,3.606701039,-0.007298328
360000,3.722491503,3.619697367,-0.102794136
361201,3.511997461,3.63271852,0.120721059
362404,3.681503057,3.645764504,-0.035738553
363609,3.475506544,3.658835322,0.183328778
364816,3.65200758,3.671930981,0.019923401
366025,3.521001101,3.685051486,0.164050385
367236,3.728493214,3.698196842,-0.030296372
368449,3.517999649,3.711367053,0.193367404
369664,3.566498995,3.724562127,0.158063132
370881,3.642501116,3.737782066,0.09528095
372100,3.578008175,3.751026877,0.173018702
373321,3.603500605,3.764296565,0.16079596
374544,3.742000818,3.777591135,0.035590317
375769,3.716001749,3.790910592,0.074908843
376996,3.801499128,3.804254942,0.002755814
378225,3.82999897,3.817624188,-0.012374782
